"","age","workclass","education","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","income"
"1",90,NA,"HS-grad","Widowed",NA,"Not-in-family","White","Female",0,4356,40,"<=50K"
"2",82,5,"HS-grad","Widowed",5,"Not-in-family","White","Female",0,4356,18,"<=50K"
"3",66,NA,"Some-college","Widowed",NA,"Unmarried","Black","Female",0,4356,40,"<=50K"
"4",54,5,"7th-8th","Divorced",8,"Unmarried","White","Female",0,3900,40,"<=50K"
"5",41,5,"Some-college","Separated",11,"Own-child","White","Female",0,3900,40,"<=50K"
"6",34,5,"HS-grad","Divorced",9,"Unmarried","White","Female",0,3770,45,"<=50K"
"7",38,5,"10th","Separated",2,"Unmarried","White","Male",0,3770,40,"<=50K"
"8",74,8,"Doctorate","Never-married",11,"Other-relative","White","Female",0,3683,20,">50K"
"9",68,2,"HS-grad","Divorced",11,"Not-in-family","White","Female",0,3683,40,"<=50K"
"10",41,5,"Some-college","Never-married",4,"Unmarried","White","Male",0,3004,60,">50K"
"11",45,5,"Doctorate","Divorced",11,"Unmarried","Black","Female",0,3004,35,">50K"
"12",38,7,"Prof-school","Never-married",11,"Not-in-family","White","Male",0,2824,45,">50K"
"13",52,5,"Bachelors","Widowed",9,"Not-in-family","White","Female",0,2824,20,">50K"
"14",32,5,"Masters","Separated",5,"Not-in-family","White","Male",0,2824,55,">50K"
"15",51,NA,"Doctorate","Never-married",NA,"Not-in-family","White","Male",0,2824,40,">50K"
"16",46,5,"Prof-school","Divorced",11,"Not-in-family","White","Male",0,2824,40,">50K"
"17",45,5,"11th","Divorced",15,"Not-in-family","White","Male",0,2824,76,">50K"
"18",57,5,"Masters","Divorced",5,"Not-in-family","White","Male",0,2824,50,">50K"
"19",22,5,"Assoc-acdm","Never-married",7,"Not-in-family","Black","Male",0,2824,40,">50K"
"20",34,5,"Bachelors","Separated",13,"Not-in-family","White","Male",0,2824,50,">50K"
"21",37,5,"Bachelors","Never-married",5,"Not-in-family","White","Male",0,2824,40,">50K"
"22",29,5,"11th","Separated",13,"Not-in-family","White","Female",0,2754,42,"<=50K"
"23",61,5,"HS-grad","Divorced",13,"Unmarried","White","Female",0,2754,25,"<=50K"
"24",51,5,"Some-college","Married-civ-spouse",15,"Husband","White","Male",0,2603,40,"<=50K"
"25",61,NA,"HS-grad","Married-civ-spouse",NA,"Husband","White","Male",0,2603,32,"<=50K"
"26",21,5,"Assoc-voc","Married-civ-spouse",4,"Husband","White","Male",0,2603,40,"<=50K"
"27",33,5,"1st-4th","Married-civ-spouse",4,"Not-in-family","White","Male",0,2603,32,"<=50K"
"28",49,5,"5th-6th","Married-civ-spouse",9,"Husband","White","Male",0,2603,40,"<=50K"
"29",37,6,"10th","Never-married",15,"Not-in-family","White","Male",0,2559,50,">50K"
"30",38,5,"10th","Never-married",11,"Not-in-family","White","Male",0,2559,90,">50K"
"31",23,5,"Some-college","Separated",9,"Not-in-family","White","Male",0,2559,40,">50K"
"32",59,6,"10th","Widowed",5,"Unmarried","White","Female",0,2559,50,">50K"
"33",52,5,"Prof-school","Divorced",5,"Not-in-family","White","Male",0,2559,60,">50K"
"34",51,5,"Bachelors","Divorced",5,"Not-in-family","White","Male",0,2559,50,">50K"
"35",60,7,"HS-grad","Never-married",5,"Not-in-family","Black","Male",0,2559,50,">50K"
"36",63,2,"Doctorate","Divorced",5,"Not-in-family","White","Female",0,2559,60,">50K"
"37",53,5,"HS-grad","Never-married",13,"Not-in-family","White","Male",0,2559,48,">50K"
"38",51,5,"Prof-school","Never-married",11,"Not-in-family","White","Female",0,2559,50,">50K"
"39",37,7,"Doctorate","Never-married",11,"Not-in-family","White","Female",0,2559,60,">50K"
"40",54,5,"Masters","Divorced",11,"Not-in-family","White","Female",0,2559,40,">50K"
"41",44,5,"Bachelors","Divorced",5,"Unmarried","White","Male",0,2547,50,">50K"
"42",43,5,"Masters","Divorced",5,"Unmarried","White","Female",0,2547,40,">50K"
"43",51,5,"Some-college","Divorced",2,"Unmarried","White","Female",0,2547,40,">50K"
"44",43,5,"Masters","Divorced",11,"Unmarried","White","Female",0,2547,40,">50K"
"45",71,NA,"HS-grad","Married-civ-spouse",NA,"Husband","White","Male",0,2489,15,"<=50K"
"46",48,5,"Bachelors","Married-spouse-absent",13,"Unmarried","White","Female",0,2472,70,">50K"
"47",71,5,"HS-grad","Married-civ-spouse",13,"Husband","White","Male",0,2467,52,"<=50K"
"48",73,7,"HS-grad","Married-civ-spouse",6,"Husband","Asian-Pac-Islander","Male",0,2457,40,"<=50K"
"49",68,NA,"Some-college","Married-civ-spouse",NA,"Wife","White","Female",0,2457,40,"<=50K"
"50",67,NA,"Some-college","Married-civ-spouse",NA,"Husband","White","Male",0,2457,40,"<=50K"
"51",40,7,"Prof-school","Never-married",11,"Not-in-family","White","Male",0,2444,45,">50K"
"52",50,5,"HS-grad","Widowed",13,"Not-in-family","White","Female",0,2444,72,">50K"
"53",51,8,"Assoc-voc","Divorced",14,"Not-in-family","White","Male",0,2444,39,">50K"
"54",42,5,"Some-college","Never-married",5,"Not-in-family","White","Female",0,2444,40,">50K"
"55",39,5,"Masters","Never-married",13,"Not-in-family","White","Male",0,2444,45,">50K"
"56",32,5,"Bachelors","Never-married",5,"Other-relative","White","Male",0,2444,50,">50K"
"57",53,5,"Some-college","Separated",4,"Not-in-family","White","Male",0,2444,45,">50K"
"58",40,3,"Some-college","Never-married",12,"Not-in-family","White","Male",0,2444,40,">50K"
"59",38,5,"Bachelors","Never-married",13,"Not-in-family","White","Female",0,2444,45,">50K"
"60",33,5,"Assoc-voc","Separated",4,"Not-in-family","White","Male",0,2444,42,">50K"
"61",43,5,"Assoc-acdm","Divorced",4,"Not-in-family","White","Male",0,2444,70,">50K"
"62",50,6,"11th","Never-married",5,"Other-relative","White","Male",0,2444,40,">50K"
"63",44,5,"Some-college","Married-civ-spouse",2,"Wife","White","Female",0,2415,6,">50K"
"64",51,7,"Bachelors","Married-civ-spouse",13,"Husband","Asian-Pac-Islander","Male",0,2415,40,">50K"
"65",41,5,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2415,40,">50K"
"66",60,6,"Assoc-voc","Married-civ-spouse",8,"Husband","White","Male",0,2415,70,">50K"
"67",37,5,"Masters","Married-civ-spouse",5,"Husband","White","Male",0,2415,60,">50K"
"68",55,6,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2415,35,">50K"
"69",39,6,"Bachelors","Married-civ-spouse",13,"Husband","White","Male",0,2415,60,">50K"
"70",42,6,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2415,60,">50K"
"71",49,5,"Bachelors","Married-civ-spouse",13,"Husband","White","Male",0,2415,55,">50K"
"72",47,7,"HS-grad","Married-civ-spouse",5,"Husband","White","Male",0,2415,50,">50K"
"73",41,3,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2415,45,">50K"
"74",55,6,"Bachelors","Married-civ-spouse",5,"Husband","White","Male",0,2415,50,">50K"
"75",39,5,"Masters","Married-civ-spouse",5,"Wife","White","Female",0,2415,65,">50K"
"76",42,5,"Bachelors","Married-civ-spouse",5,"Husband","White","Male",0,2415,60,">50K"
"77",41,NA,"Assoc-voc","Married-civ-spouse",NA,"Husband","White","Male",0,2415,12,">50K"
"78",46,5,"Masters","Married-civ-spouse",13,"Husband","White","Male",0,2415,65,">50K"
"79",40,5,"Masters","Married-civ-spouse",5,"Husband","White","Male",0,2415,45,">50K"
"80",32,5,"Bachelors","Married-civ-spouse",11,"Husband","White","Male",0,2415,48,">50K"
"81",41,6,"Some-college","Married-civ-spouse",5,"Husband","White","Male",0,2415,55,">50K"
"82",60,6,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2415,80,">50K"
"83",31,5,"Masters","Married-civ-spouse",5,"Husband","White","Male",0,2415,70,">50K"
"84",58,7,"Some-college","Married-civ-spouse",6,"Husband","White","Male",0,2415,40,">50K"
"85",37,6,"Bachelors","Married-civ-spouse",13,"Husband","White","Male",0,2415,50,">50K"
"86",44,7,"Bachelors","Married-civ-spouse",5,"Husband","White","Male",0,2415,50,">50K"
"87",39,7,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2415,50,">50K"
"88",43,2,"Prof-school","Married-civ-spouse",11,"Husband","Asian-Pac-Islander","Male",0,2415,55,">50K"
"89",55,6,"Bachelors","Married-civ-spouse",5,"Husband","White","Male",0,2415,50,">50K"
"90",44,6,"Masters","Married-civ-spouse",11,"Husband","White","Male",0,2415,55,">50K"
"91",39,5,"Prof-school","Married-civ-spouse",11,"Husband","Asian-Pac-Islander","Male",0,2415,67,">50K"
"92",46,7,"Bachelors","Married-civ-spouse",13,"Husband","White","Male",0,2415,40,">50K"
"93",39,5,"Some-college","Married-civ-spouse",6,"Husband","White","Male",0,2415,99,">50K"
"94",62,6,"Bachelors","Married-civ-spouse",6,"Husband","White","Male",0,2415,60,">50K"
"95",31,7,"HS-grad","Married-civ-spouse",9,"Wife","White","Female",0,2415,40,">50K"
"96",46,5,"Bachelors","Married-civ-spouse",2,"Husband","Asian-Pac-Islander","Male",0,2415,35,">50K"
"97",46,7,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2415,80,">50K"
"98",39,6,"Assoc-voc","Married-civ-spouse",4,"Husband","White","Male",0,2415,40,">50K"
"99",39,5,"Prof-school","Married-civ-spouse",13,"Husband","White","Male",0,2415,99,">50K"
"100",59,5,"Doctorate","Married-civ-spouse",11,"Husband","White","Male",0,2415,45,">50K"
"101",50,6,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2415,60,">50K"
"102",46,5,"Doctorate","Married-civ-spouse",11,"Husband","White","Male",0,2415,55,">50K"
"103",53,7,"Bachelors","Married-civ-spouse",5,"Husband","White","Male",0,2415,40,">50K"
"104",50,7,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2415,30,">50K"
"105",41,6,"Prof-school","Married-civ-spouse",5,"Wife","White","Female",0,2415,55,">50K"
"106",36,5,"Bachelors","Married-civ-spouse",13,"Husband","White","Male",0,2415,45,">50K"
"107",38,5,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2415,90,">50K"
"108",54,5,"Some-college","Married-civ-spouse",13,"Husband","White","Male",0,2415,50,">50K"
"109",50,5,"Bachelors","Married-civ-spouse",5,"Wife","White","Female",0,2415,20,">50K"
"110",47,5,"Bachelors","Married-civ-spouse",5,"Husband","White","Male",0,2415,60,">50K"
"111",47,6,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2415,45,">50K"
"112",67,5,"Bachelors","Widowed",5,"Not-in-family","White","Male",0,2392,40,">50K"
"113",67,6,"Bachelors","Married-civ-spouse",5,"Husband","White","Male",0,2392,75,">50K"
"114",72,7,"Doctorate","Married-civ-spouse",11,"Husband","White","Male",0,2392,25,">50K"
"115",72,NA,"Doctorate","Married-civ-spouse",NA,"Husband","White","Male",0,2392,6,">50K"
"116",46,6,"Masters","Married-civ-spouse",5,"Husband","White","Male",0,2392,50,">50K"
"117",78,6,"Bachelors","Married-civ-spouse",5,"Husband","White","Male",0,2392,40,">50K"
"118",71,6,"Bachelors","Married-civ-spouse",5,"Husband","White","Male",0,2392,60,">50K"
"119",83,6,"Bachelors","Married-civ-spouse",5,"Husband","White","Male",0,2392,55,">50K"
"120",68,5,"Masters","Married-civ-spouse",5,"Husband","White","Male",0,2392,40,">50K"
"121",26,5,"Assoc-voc","Married-civ-spouse",2,"Husband","White","Male",0,2377,45,"<=50K"
"122",68,8,"Doctorate","Married-civ-spouse",11,"Husband","White","Male",0,2377,60,">50K"
"123",49,6,"HS-grad","Married-civ-spouse",2,"Wife","White","Female",0,2377,40,">50K"
"124",36,5,"HS-grad","Married-civ-spouse",11,"Husband","White","Male",0,2377,60,"<=50K"
"125",70,7,"Bachelors","Married-civ-spouse",4,"Husband","White","Male",0,2377,12,">50K"
"126",27,5,"Some-college","Married-civ-spouse",2,"Wife","Black","Female",0,2377,20,"<=50K"
"127",35,3,"Some-college","Married-civ-spouse",5,"Husband","White","Male",0,2377,40,"<=50K"
"128",23,5,"HS-grad","Married-civ-spouse",13,"Husband","White","Male",0,2377,40,"<=50K"
"129",81,5,"HS-grad","Married-civ-spouse",5,"Husband","White","Male",0,2377,26,">50K"
"130",66,7,"Doctorate","Married-civ-spouse",13,"Husband","White","Male",0,2377,25,">50K"
"131",71,5,"HS-grad","Married-civ-spouse",5,"Husband","White","Male",0,2377,45,">50K"
"132",68,5,"Some-college","Married-civ-spouse",13,"Husband","White","Male",0,2377,55,">50K"
"133",68,8,"Masters","Married-civ-spouse",11,"Husband","White","Male",0,2377,42,">50K"
"134",65,NA,"Bachelors","Married-civ-spouse",NA,"Husband","White","Male",0,2377,40,">50K"
"135",52,5,"HS-grad","Married-civ-spouse",13,"Husband","Black","Male",0,2377,40,"<=50K"
"136",40,6,"Assoc-acdm","Married-civ-spouse",4,"Husband","White","Male",0,2377,50,"<=50K"
"137",68,NA,"Bachelors","Married-civ-spouse",NA,"Husband","White","Male",0,2377,35,">50K"
"138",21,5,"Some-college","Married-civ-spouse",5,"Husband","White","Male",0,2377,48,"<=50K"
"139",35,5,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2377,40,"<=50K"
"140",70,6,"Bachelors","Married-civ-spouse",5,"Husband","White","Male",0,2377,50,">50K"
"141",61,7,"HS-grad","Married-civ-spouse",6,"Husband","White","Male",0,2352,50,"<=50K"
"142",65,6,"HS-grad","Married-civ-spouse",6,"Husband","White","Male",0,2352,65,"<=50K"
"143",46,5,"5th-6th","Divorced",4,"Not-in-family","White","Female",0,2339,45,"<=50K"
"144",26,3,"Bachelors","Never-married",11,"Not-in-family","White","Male",0,2339,55,"<=50K"
"145",59,3,"HS-grad","Widowed",6,"Unmarried","White","Male",0,2339,40,"<=50K"
"146",61,5,"5th-6th","Never-married",7,"Not-in-family","Black","Male",0,2339,40,"<=50K"
"147",60,8,"Bachelors","Divorced",11,"Not-in-family","White","Female",0,2339,40,"<=50K"
